file,model,arch,variable,level_vs_baseline,beta,OR,OR_CI_low,OR_CI_high
"n=4,out=426,arch=[3],model=binarized.json",binarized,"n=4, out=426, arch=[3]",bs,8,-0.5123024041396693,0.5991145857179252,0.36362836560546635,0.9871019996536963
"n=4,out=426,arch=[3],model=binarized.json",binarized,"n=4, out=426, arch=[3]",clip,0.8,-0.481698086965543,0.6177335354200145,0.37480989759476635,1.0181020384767947
"n=4,out=426,arch=[3],model=binarized.json",binarized,"n=4, out=426, arch=[3]",clip,0.9,-0.9321828483125238,0.39369339877717546,0.23697566174899554,0.6540523659551764
"n=4,out=426,arch=[3],model=binarized.json",binarized,"n=4, out=426, arch=[3]",lr,0.005,0.7091577982788004,2.032278948864149,1.227891270492315,3.363618445092789
"n=4,out=426,arch=[3],model=binarized.json",binarized,"n=4, out=426, arch=[3]",lr,0.006,0.580404391138819,1.786760834922137,1.0816522311152077,2.9515163833389395
"n=4,out=426,arch=[4],model=binarized.json",binarized,"n=4, out=426, arch=[4]",bs,16,-1.3514819591682818,0.2588563616963835,0.14963853246230874,0.447789849900905
"n=4,out=426,arch=[4],model=binarized.json",binarized,"n=4, out=426, arch=[4]",bs,8,-0.700809870151086,0.49618329698503005,0.28920114236125233,0.851303221684371
"n=4,out=426,arch=[4],model=binarized.json",binarized,"n=4, out=426, arch=[4]",clip,0.8,-0.39102136572499785,0.6763657048412619,0.40022197387171105,1.1430421030107076
"n=4,out=426,arch=[4],model=binarized.json",binarized,"n=4, out=426, arch=[4]",clip,0.9,-0.03621728495457844,0.964430714430781,0.5690800700190809,1.6344388987410507
"n=4,out=426,arch=[4],model=binarized.json",binarized,"n=4, out=426, arch=[4]",lr,0.005,0.5263780638586713,1.692790014501586,1.0033194677176884,2.8560574427153225
"n=4,out=426,arch=[4],model=binarized.json",binarized,"n=4, out=426, arch=[4]",lr,0.006,0.7454303778719126,2.107348195873738,1.2405145428061282,3.5798987157431013
