canonical,min_architecture,seed,lr,batch_size,clip,model_type,attempts,epochs,delta,patience,accuracy,success
5784,[3],5,0.006,4,0.6,binarized,10,10000,0.01,100,100.0,1
6120,[2],0,0.004,16,0.9,binarized,10,10000,0.01,100,100.0,1
6040,[3],1,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
6060,[3],0,0.006,16,0.8,binarized,10,10000,0.01,100,100.0,1
6038,[3],3,0.004,8,0.8,binarized,10,10000,0.01,100,100.0,1
828,[2],1,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
6627,[3],0,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
6375,[3],0,0.004,4,0.9,binarized,10,10000,0.01,100,100.0,1
854,[4],2,0.005,16,0.6,binarized,10,10000,0.01,100,100.0,1
7140,[3],2,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
855,[2],0,0.006,4,0.6,binarized,10,10000,0.01,100,100.0,1
859,[2],2,0.006,16,0.8,binarized,10,10000,0.01,100,100.0,1
6042,[3],1,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
7128,[3],3,0.005,4,0.8,binarized,10,10000,0.01,100,100.0,1
863,[2],0,0.005,8,0.6,binarized,10,10000,0.01,100,100.0,1
829,[3],2,0.004,4,0.9,binarized,10,10000,0.01,100,100.0,1
6630,[3],2,0.005,4,0.8,binarized,10,10000,0.01,100,100.0,1
7905,[3],0,0.006,8,0.9,binarized,10,10000,0.01,100,100.0,1
857,[3],0,0.006,8,0.9,binarized,10,10000,0.01,100,100.0,1
862,[3],8,0.004,16,0.8,binarized,10,10000,0.01,100,100.0,1
879,[2],3,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
858,[2],8,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
878,[2],3,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
872,[2],8,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
856,[3],0,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
873,[3],0,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
876,[2],7,0.004,8,0.9,binarized,10,10000,0.01,100,100.0,1
961,[2],1,0.006,16,0.6,binarized,10,10000,0.01,100,100.0,1
893,[3],2,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
875,[3],0,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
966,[2],0,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
874,[3],1,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
965,[2],4,0.004,16,0.6,binarized,10,10000,0.01,100,100.0,1
963,[2],0,0.004,4,0.9,binarized,10,10000,0.01,100,100.0,1
960,[2],1,0.004,4,0.9,binarized,10,10000,0.01,100,100.0,1
975,[2],0,0.005,4,0.8,binarized,10,10000,0.01,100,100.0,1
981,[2],2,0.004,16,0.9,binarized,10,10000,0.01,100,100.0,1
980,[2],2,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
892,[2],6,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
982,[2],4,0.005,16,0.8,binarized,10,10000,0.01,100,100.0,1
967,[2],2,0.005,4,0.8,binarized,10,10000,0.01,100,100.0,1
988,[2],4,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
990,[2],4,0.006,16,0.8,binarized,10,10000,0.01,100,100.0,1
983,[2],2,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
989,[3],2,0.006,16,0.6,binarized,10,10000,0.01,100,100.0,1
987,[2],0,0.006,8,0.9,binarized,10,10000,0.01,100,100.0,1
985,[3],0,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
877,[3],3,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
894,[3],7,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
984,[3],0,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
